epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3349.32,2.28815,2.66031,1.96138,0.34249,0.30088,0.24236,0.09765,2.42836,2.79998,2.19004,0.0012278,0.0012278,0.0012278
80,3391.64,2.19932,2.57212,1.83148,0.543,0.35398,0.3712,0.17571,2.26768,2.37953,2.13363,0.0012179,0.0012179,0.0012179
81,3433.77,2.2325,2.71343,1.93372,0.4313,0.31858,0.26978,0.10713,2.34325,2.90827,2.1331,0.001208,0.001208,0.001208
82,3476.01,2.22723,2.52507,1.86101,0.65463,0.41937,0.46201,0.21289,2.29608,2.20827,2.07217,0.0011981,0.0011981,0.0011981
83,3518.59,2.17886,2.4413,1.87508,0.54052,0.39823,0.3734,0.16305,2.21746,2.33817,2.09404,0.0011882,0.0011882,0.0011882
84,3560.94,2.15175,2.55771,1.91323,0.50015,0.44248,0.39451,0.19198,2.24756,2.23109,2.10992,0.0011783,0.0011783,0.0011783
85,3603.07,2.16049,2.51338,1.90736,0.5818,0.38938,0.38614,0.1895,2.23527,2.53989,2.1193,0.0011684,0.0011684,0.0011684
86,3645.4,2.2298,2.56528,1.89758,0.47891,0.43922,0.39428,0.1988,2.19392,2.36596,2.04304,0.0011585,0.0011585,0.0011585
87,3687.38,2.13061,2.41796,1.81592,0.35082,0.36283,0.26008,0.10416,2.27278,2.48404,2.06863,0.0011486,0.0011486,0.0011486
88,3729.7,2.30747,2.71569,2.02616,0.48773,0.43816,0.38964,0.16691,2.29224,2.32085,2.08772,0.0011387,0.0011387,0.0011387
89,3771.98,2.07988,2.33129,1.82261,0.60181,0.40708,0.44157,0.182,2.33761,2.3115,2.11491,0.0011288,0.0011288,0.0011288
90,3814.09,2.11316,2.3984,1.84851,0.51244,0.42478,0.34334,0.14163,2.37501,2.36202,2.13193,0.0011189,0.0011189,0.0011189
91,3856.37,2.20886,2.48364,1.85734,0.65453,0.33628,0.38968,0.18965,2.23116,2.32442,2.0971,0.001109,0.001109,0.001109
92,3898.5,2.1615,2.48881,1.88175,0.6163,0.44065,0.48145,0.23079,2.16195,2.14907,2.06812,0.0010991,0.0010991,0.0010991
93,3940.98,2.1875,2.46465,1.87052,0.53508,0.38938,0.40628,0.21552,2.2387,2.41372,2.11717,0.0010892,0.0010892,0.0010892
94,3983.24,2.07723,2.31398,1.79839,0.47915,0.49558,0.47287,0.2146,2.27294,2.12437,2.10099,0.0010793,0.0010793,0.0010793
95,4025.65,2.20086,2.54859,1.91531,0.60321,0.41707,0.46763,0.22837,2.20939,2.2138,2.0475,0.0010694,0.0010694,0.0010694
96,4067.72,2.11164,2.2866,1.80259,0.5201,0.39324,0.35138,0.15134,2.27078,2.45357,2.10418,0.0010595,0.0010595,0.0010595
97,4109.98,2.12846,2.45615,1.85474,0.75787,0.45133,0.45668,0.21746,2.18348,2.15929,2.04333,0.0010496,0.0010496,0.0010496
98,4152.36,2.10408,2.2598,1.81573,0.49793,0.46519,0.43819,0.20579,2.18411,2.19743,2.06214,0.0010397,0.0010397,0.0010397
99,4194.56,2.144,2.21742,1.88569,0.51193,0.45485,0.39438,0.16608,2.26409,2.2541,2.09156,0.0010298,0.0010298,0.0010298
100,4236.85,2.0798,2.31763,1.71966,0.54139,0.46903,0.4069,0.20448,2.20301,2.20236,2.04377,0.0010199,0.0010199,0.0010199
101,4279.05,2.2061,2.44901,1.93632,0.39385,0.46903,0.27878,0.12077,2.20231,2.44456,2.04189,0.00101,0.00101,0.00101
102,4321.19,2.11904,2.23772,1.80221,0.60166,0.48122,0.49719,0.24065,2.23218,2.12826,2.05323,0.0010001,0.0010001,0.0010001
103,4363.46,2.14298,2.38193,1.93845,0.40706,0.33628,0.29037,0.13944,2.3335,2.65947,2.1239,0.0009902,0.0009902,0.0009902
104,4405.82,2.09068,2.29551,1.82239,0.58329,0.46903,0.48044,0.2315,2.20732,2.21957,2.07751,0.0009803,0.0009803,0.0009803
105,4447.96,2.14514,2.22898,1.844,0.56399,0.53982,0.47924,0.24067,2.16437,2.0349,2.033,0.0009704,0.0009704,0.0009704
106,4490.7,2.09308,2.27161,1.80092,0.6501,0.46038,0.47013,0.22444,2.18101,2.18951,2.04808,0.0009605,0.0009605,0.0009605
107,4532.98,2.17839,2.36987,1.81562,0.61618,0.53097,0.50281,0.23599,2.16821,2.12269,2.01225,0.0009506,0.0009506,0.0009506
108,4575.31,2.16553,2.3537,1.89506,0.59983,0.43363,0.4522,0.21957,2.17152,2.31911,2.01318,0.0009407,0.0009407,0.0009407
109,4617.47,2.02949,2.20695,1.82297,0.66736,0.47788,0.50657,0.23874,2.19847,2.04458,2.04427,0.0009308,0.0009308,0.0009308
110,4659.57,2.07021,2.29079,1.86278,0.48935,0.47493,0.36943,0.16868,2.22402,2.2427,2.02859,0.0009209,0.0009209,0.0009209
111,4701.76,2.07251,2.12143,1.80215,0.65588,0.53975,0.54404,0.27655,2.10537,1.92069,1.99423,0.000911,0.000911,0.000911
112,4744.45,2.04253,2.22378,1.82148,0.64949,0.52476,0.49744,0.2511,2.1404,1.99776,2.01717,0.0009011,0.0009011,0.0009011
113,4786.75,1.98542,2.15459,1.73902,0.65691,0.45133,0.45248,0.22911,2.19677,2.08008,2.00345,0.0008912,0.0008912,0.0008912
114,4829.14,2.14139,2.27522,1.85355,0.62762,0.49224,0.49738,0.24664,2.18676,2.05445,2.03039,0.0008813,0.0008813,0.0008813
115,4871.63,2.08474,2.28281,1.85466,0.56025,0.52212,0.47725,0.23866,2.02233,1.98363,1.93485,0.0008714,0.0008714,0.0008714
116,4914,2.06894,2.2255,1.73635,0.48923,0.41593,0.41543,0.20659,2.0892,2.1558,1.9445,0.0008615,0.0008615,0.0008615
117,4956.31,1.97251,2.15179,1.73184,0.65188,0.49558,0.5129,0.25475,2.15719,2.0579,1.97847,0.0008516,0.0008516,0.0008516
